name,attenuation_min,attenuation_max,type,alcohol_tolerance
Voyager,{'unit': 'PERCENT_SIGN'},{'unit': 'PERCENT_SIGN'},ALE,0.0
Julius,{'unit': 'PERCENT_SIGN'},{'unit': 'PERCENT_SIGN'},ALE,0.0
LalBrew Abbaye,"{'value': 74.7127, 'unit': 'PERCENT_SIGN'}",{'unit': 'PERCENT_SIGN'},ALE,0.0
LalBrew Belle Saison,"{'value': 74.7127, 'unit': 'PERCENT_SIGN'}",{'unit': 'PERCENT_SIGN'},ALE,0.0
LalBrew BRY-97,"{'value': 68.9655, 'unit': 'PERCENT_SIGN'}",{'unit': 'PERCENT_SIGN'},ALE,11
LalBrew CBC-1,{'unit': 'PERCENT_SIGN'},{'unit': 'PERCENT_SIGN'},ALE,0.0
LalBrew Diamond Lager,"{'value': 74.7127, 'unit': 'PERCENT_SIGN'}",{'unit': 'PERCENT_SIGN'},ALE,0.0
LalBrew Koln,"{'value': 66.6667, 'unit': 'PERCENT_SIGN'}",{'unit': 'PERCENT_SIGN'},ALE,0.0
LalBrew London,"{'value': 74.7127, 'unit': 'PERCENT_SIGN'}",{'unit': 'PERCENT_SIGN'},ALE,0.0
LalBrew Munich Classic,"{'value': 68.9655, 'unit': 'PERCENT_SIGN'}",{'unit': 'PERCENT_SIGN'},ALE,0.0
LalBrew New England,"{'value': 66.6667, 'unit': 'PERCENT_SIGN'}",{'unit': 'PERCENT_SIGN'},ALE,11
LalBrew Nottingham,"{'value': 74.7127, 'unit': 'PERCENT_SIGN'}",{'unit': 'PERCENT_SIGN'},ALE,0.0
LalBrew Voss,"{'value': 68.9655, 'unit': 'PERCENT_SIGN'}",{'unit': 'PERCENT_SIGN'},KVEIK,0.0
LalBrew Windsor,"{'value': 66.6667, 'unit': 'PERCENT_SIGN'}",{'unit': 'PERCENT_SIGN'},ALE,0.0
LalBrew Wit,"{'value': 57.4713, 'unit': 'PERCENT_SIGN'}",{'unit': 'PERCENT_SIGN'},ALE,0.0
Prise de Mousse Wine Yeast,"{'value': 74.7127, 'unit': 'PERCENT_SIGN'}",{'unit': 'PERCENT_SIGN'},ALE,18
Sourvisiae,"{'value': 68.9655, 'unit': 'PERCENT_SIGN'}",{'unit': 'PERCENT_SIGN'},ALE,0.0
WildBrew Philly Sour,"{'value': 74.7127, 'unit': 'PERCENT_SIGN'}",{'unit': 'PERCENT_SIGN'},ALE,0.0
Bavarian Wheat,"{'value': 70, 'unit': 'PERCENT_SIGN'}","{'value': 75, 'unit': 'PERCENT_SIGN'}",ALE,23.0769
Belgian Ale,"{'value': 82, 'unit': 'PERCENT_SIGN'}","{'value': 88, 'unit': 'PERCENT_SIGN'}",ALE,0.0
Belgian Wit,"{'value': 70, 'unit': 'PERCENT_SIGN'}","{'value': 75, 'unit': 'PERCENT_SIGN'}",ALE,0.0
Bohemian Lager,"{'value': 72, 'unit': 'PERCENT_SIGN'}","{'value': 76, 'unit': 'PERCENT_SIGN'}",ALE,0.0
California Lager,"{'value': 77, 'unit': 'PERCENT_SIGN'}","{'value': 82, 'unit': 'PERCENT_SIGN'}",ALE,0.0
Empire Ale,"{'value': 70, 'unit': 'PERCENT_SIGN'}","{'value': 75, 'unit': 'PERCENT_SIGN'}",ALE,0.0
French Saison Ale,"{'value': 85, 'unit': 'PERCENT_SIGN'}","{'value': 90, 'unit': 'PERCENT_SIGN'}",ALE,14
Liberty Bell Ale,"{'value': 74, 'unit': 'PERCENT_SIGN'}","{'value': 78, 'unit': 'PERCENT_SIGN'}",ALE,0.0
New World Strong Ale,"{'value': 77, 'unit': 'PERCENT_SIGN'}","{'value': 82, 'unit': 'PERCENT_SIGN'}",ALE,0.0
US West Coast,"{'value': 74.7127, 'unit': 'PERCENT_SIGN'}",{'unit': 'PERCENT_SIGN'},ALE,11
Workhorse,"{'value': 74.7127, 'unit': 'PERCENT_SIGN'}",{'unit': 'PERCENT_SIGN'},ALE,0.0
Muntons Premium Gold,"{'value': 72, 'unit': 'PERCENT_SIGN'}","{'value': 75, 'unit': 'PERCENT_SIGN'}",ALE,8
Muntons Standard Ale,"{'value': 72, 'unit': 'PERCENT_SIGN'}","{'value': 75, 'unit': 'PERCENT_SIGN'}",ALE,8
ABBEY ALE C,"{'value': 74, 'unit': 'PERCENT_SIGN'}","{'value': 78, 'unit': 'PERCENT_SIGN'}",ALE,12
ALL THE BRETTS,"{'value': 85, 'unit': 'PERCENT_SIGN'}",{'unit': 'PERCENT_SIGN'},ALE,11
ALT,"{'value': 73, 'unit': 'PERCENT_SIGN'}","{'value': 77, 'unit': 'PERCENT_SIGN'}",ALE,11
AMERICAN LAGER,"{'value': 73, 'unit': 'PERCENT_SIGN'}","{'value': 77, 'unit': 'PERCENT_SIGN'}",ALE,9
AMERICAN PILSNER,"{'value': 71, 'unit': 'PERCENT_SIGN'}","{'value': 75, 'unit': 'PERCENT_SIGN'}",ALE,9
AMERICAN WHEAT,"{'value': 74, 'unit': 'PERCENT_SIGN'}","{'value': 78, 'unit': 'PERCENT_SIGN'}",ALE,10
Bavarian Wheat I,"{'value': 72, 'unit': 'PERCENT_SIGN'}","{'value': 78, 'unit': 'PERCENT_SIGN'}",ALE,10
Bavarian Wheat II,"{'value': 70, 'unit': 'PERCENT_SIGN'}","{'value': 76, 'unit': 'PERCENT_SIGN'}",ALE,10
BAYERN LAGER,"{'value': 72, 'unit': 'PERCENT_SIGN'}","{'value': 76, 'unit': 'PERCENT_SIGN'}",ALE,9
BELGIAN ALE A,"{'value': 72, 'unit': 'PERCENT_SIGN'}","{'value': 85, 'unit': 'PERCENT_SIGN'}",ALE,12
BELGIAN ALE D,"{'value': 74, 'unit': 'PERCENT_SIGN'}","{'value': 78, 'unit': 'PERCENT_SIGN'}",ALE,11
BELGIAN ALE DK,"{'value': 73, 'unit': 'PERCENT_SIGN'}","{'value': 80, 'unit': 'PERCENT_SIGN'}",ALE,10
BELGIAN ALE O,"{'value': 74, 'unit': 'PERCENT_SIGN'}","{'value': 80, 'unit': 'PERCENT_SIGN'}",ALE,12
BELGIAN ALE R,"{'value': 73, 'unit': 'PERCENT_SIGN'}","{'value': 82, 'unit': 'PERCENT_SIGN'}",ALE,12
BELGIAN ALE W,"{'value': 74, 'unit': 'PERCENT_SIGN'}","{'value': 78, 'unit': 'PERCENT_SIGN'}",ALE,11
BELGIAN GOLDEN STRONG,"{'value': 90, 'unit': 'PERCENT_SIGN'}","{'value': 95, 'unit': 'PERCENT_SIGN'}",ALE,14
BELGIAN SAISON I,"{'value': 76, 'unit': 'PERCENT_SIGN'}","{'value': 80, 'unit': 'PERCENT_SIGN'}",ALE,12
BELGIAN SAISON II,"{'value': 74, 'unit': 'PERCENT_SIGN'}","{'value': 79, 'unit': 'PERCENT_SIGN'}",ALE,12
Belgian Wheat,"{'value': 72, 'unit': 'PERCENT_SIGN'}","{'value': 76, 'unit': 'PERCENT_SIGN'}",ALE,12
BIERE DE GARDE,"{'value': 74, 'unit': 'PERCENT_SIGN'}","{'value': 79, 'unit': 'PERCENT_SIGN'}",ALE,9
BRETT BLEND #1 WHERE DA FUNK?,"{'value': 78, 'unit': 'PERCENT_SIGN'}","{'value': 88, 'unit': 'PERCENT_SIGN'}",ALE,11
BRETT BLEND #2 BIT O'FUNK,"{'value': 85, 'unit': 'PERCENT_SIGN'}",{'unit': 'PERCENT_SIGN'},ALE,11
BRETT BLEND #3 BRING ON DA FUNK,"{'value': 85, 'unit': 'PERCENT_SIGN'}",{'unit': 'PERCENT_SIGN'},ALE,11
BRETTANOMYCES BRUXELLENSIS,"{'value': 70, 'unit': 'PERCENT_SIGN'}","{'value': 85, 'unit': 'PERCENT_SIGN'}",ALE,10
