name,attenuation_min,attenuation_max,type,alcohol_tolerance
German Ale,"{'value': 73, 'unit': 'PERCENT_SIGN'}","{'value': 77, 'unit': 'PERCENT_SIGN'}",ALE,11
German Wheat,"{'value': 70, 'unit': 'PERCENT_SIGN'}","{'value': 76, 'unit': 'PERCENT_SIGN'}",ALE,10
Hella Bock Lager,"{'value': 70, 'unit': 'PERCENT_SIGN'}","{'value': 74, 'unit': 'PERCENT_SIGN'}",ALE,12
Irish Ale,"{'value': 71, 'unit': 'PERCENT_SIGN'}","{'value': 75, 'unit': 'PERCENT_SIGN'}",ALE,12
Kolsch,"{'value': 73, 'unit': 'PERCENT_SIGN'}","{'value': 77, 'unit': 'PERCENT_SIGN'}",ALE,10
Kolsch II,"{'value': 73, 'unit': 'PERCENT_SIGN'}","{'value': 77, 'unit': 'PERCENT_SIGN'}",ALE,10
London Ale,"{'value': 73, 'unit': 'PERCENT_SIGN'}","{'value': 77, 'unit': 'PERCENT_SIGN'}",ALE,11
London Ale III,"{'value': 71, 'unit': 'PERCENT_SIGN'}","{'value': 75, 'unit': 'PERCENT_SIGN'}",ALE,10
London ESB Ale,"{'value': 67, 'unit': 'PERCENT_SIGN'}","{'value': 71, 'unit': 'PERCENT_SIGN'}",ALE,9
Munich Lager,"{'value': 70, 'unit': 'PERCENT_SIGN'}","{'value': 74, 'unit': 'PERCENT_SIGN'}",ALE,9
Munich Lager II,"{'value': 72, 'unit': 'PERCENT_SIGN'}","{'value': 74, 'unit': 'PERCENT_SIGN'}",ALE,10
North American Lager,"{'value': 70, 'unit': 'PERCENT_SIGN'}","{'value': 76, 'unit': 'PERCENT_SIGN'}",ALE,9
Northwest Ale,"{'value': 67, 'unit': 'PERCENT_SIGN'}","{'value': 71, 'unit': 'PERCENT_SIGN'}",ALE,10
Octoberfest Lager Blend,"{'value': 73, 'unit': 'PERCENT_SIGN'}","{'value': 77, 'unit': 'PERCENT_SIGN'}",ALE,9
Old Ale Blend,"{'value': 75, 'unit': 'PERCENT_SIGN'}","{'value': 80, 'unit': 'PERCENT_SIGN'}",ALE,14
Oud Bruin Ale Blend,"{'value': 70, 'unit': 'PERCENT_SIGN'}","{'value': 80, 'unit': 'PERCENT_SIGN'}",ALE,10
Pacman,"{'value': 72, 'unit': 'PERCENT_SIGN'}","{'value': 78, 'unit': 'PERCENT_SIGN'}",ALE,12
Pilsen Lager,"{'value': 71, 'unit': 'PERCENT_SIGN'}","{'value': 75, 'unit': 'PERCENT_SIGN'}",ALE,9
Pilsner Urquell H-Strain,"{'value': 72, 'unit': 'PERCENT_SIGN'}","{'value': 76, 'unit': 'PERCENT_SIGN'}",ALE,9
Ringwood Ale,"{'value': 68, 'unit': 'PERCENT_SIGN'}","{'value': 72, 'unit': 'PERCENT_SIGN'}",ALE,10
Rocky Mountain Lager,"{'value': 70, 'unit': 'PERCENT_SIGN'}","{'value': 74, 'unit': 'PERCENT_SIGN'}",ALE,9
Roeselare Ale Blend,"{'value': 80, 'unit': 'PERCENT_SIGN'}",{'unit': 'PERCENT_SIGN'},ALE,11
Saison-Brett Blend,"{'value': 80, 'unit': 'PERCENT_SIGN'}","{'value': 90, 'unit': 'PERCENT_SIGN'}",ALE,12
Scottish Ale,"{'value': 69, 'unit': 'PERCENT_SIGN'}","{'value': 73, 'unit': 'PERCENT_SIGN'}",ALE,12
Staro Prague Lager,"{'value': 70, 'unit': 'PERCENT_SIGN'}","{'value': 74, 'unit': 'PERCENT_SIGN'}",ALE,11
Thames Valley Ale,"{'value': 72, 'unit': 'PERCENT_SIGN'}","{'value': 76, 'unit': 'PERCENT_SIGN'}",ALE,10
Thames Valley Ale II,"{'value': 72, 'unit': 'PERCENT_SIGN'}","{'value': 78, 'unit': 'PERCENT_SIGN'}",ALE,10
Weihenstephan Weizen,"{'value': 73, 'unit': 'PERCENT_SIGN'}","{'value': 77, 'unit': 'PERCENT_SIGN'}",ALE,10
West Coast IPA,"{'value': 73, 'unit': 'PERCENT_SIGN'}","{'value': 80, 'unit': 'PERCENT_SIGN'}",ALE,10
West Yorkshire Ale,"{'value': 67, 'unit': 'PERCENT_SIGN'}","{'value': 71, 'unit': 'PERCENT_SIGN'}",ALE,9
Whitbread Ale,"{'value': 68, 'unit': 'PERCENT_SIGN'}","{'value': 72, 'unit': 'PERCENT_SIGN'}",ALE,10
Wyeast Bohemian Ale Blend,"{'value': 71, 'unit': 'PERCENT_SIGN'}","{'value': 75, 'unit': 'PERCENT_SIGN'}",ALE,11
