name,type,color_ebc,yield_percentage,protein
Dark Crystal Crystal 400,GRAIN,480,75.0,0.0
Black Malt,GRAIN,1540,75.0,0.0
Roast Barley,GRAIN,1540,75.0,0.0
Crystal Rye Malt,GRAIN,440,75.0,0.0
Cara Gold Malt,GRAIN,18,75.0,0.0
Cara Malt,GRAIN,35,75.0,0.0
Light Munich Malt,GRAIN,27.5,75.0,0.0
Dark Munich Malt,GRAIN,50,75.0,11.3
Dextrin Malt,GRAIN,3.3,75.0,12.5
Wheat Malt,GRAIN,5.5,75.0,12.5
Rye Malt,GRAIN,35,75.0,10
Naked Oat Malt,GRAIN,7.8,75.0,17
Pilsner malt,GRAIN,4,75.0,11.5
Munich malt,GRAIN,40,75.0,12
Vienna malt,GRAIN,9,75.0,11.5
Wheat malt ,GRAIN,4,75.0,12
Pilsen MD™,GRAIN,3.5,75.0,11.5
Wheat MD™,GRAIN,3.5,75.0,12.5
Pale Ale MD™,GRAIN,10,75.0,12
Munich MD™,GRAIN,16.5,75.0,12
Aromatic MD™ / Amber MD™,GRAIN,60,75.0,12
Aroma 100 MD™,GRAIN,110,75.0,12
Aroma 150 MD™,GRAIN,170,75.0,12
Cara 20 MD™,GRAIN,20,75.0,12.5
Cara 50 MD™,GRAIN,50,75.0,12.5
Cara 120 MD™,GRAIN,120,75.0,12.5
Special B® MD™ ,GRAIN,350,75.0,12.5
Biscuit® MD™ ,GRAIN,70,75.0,12.5
Mroost 900 MD™ (Chocolate) ,GRAIN,1000,75.0,12.5
Mroost 1400 MD™ (De-Bittered Black) ,GRAIN,1400,75.0,12.5
Pealed roasted barley MD™,GRAIN,1200,75.0,12.5
Toasted wheat MD™ ,GRAIN,30,75.0,12.5
Organic PILSEN MD™ ,GRAIN,3.5,75.0,11.5
Organic Ale MD™ ,GRAIN,10,75.0,12
Organic Munich MD™ ,GRAIN,16.5,75.0,12
Organic Cara MD™ ,GRAIN,120,75.0,12.5
Organic Biscuit® MD™ ,GRAIN,3.5,75.0,11.5
Organic Mroost MD™,GRAIN,1400,75.0,12.5
Pennypack Pils,GRAIN,3.9,75.0,0.0
Rustic Ale,GRAIN,6.9,75.0,0.0
Legacy Wheat,GRAIN,4.9,75.0,0.0
Heritage Rye,GRAIN,9.9,75.0,0.0
Pale Oat,GRAIN,5.9,75.0,0.0
Vienna,GRAIN,11.8,75.0,0.0
Munich,GRAIN,19.7,75.0,0.0
Aromunich,GRAIN,78.8,75.0,0.0
Golden,GRAIN,49.3,75.0,0.0
Dextrin,GRAIN,23.6,75.0,0.0
Caramel 70,GRAIN,147.8,75.0,0.0
Caramel Rye,GRAIN,128.1,75.0,0.0
Cocoa,GRAIN,443.3,75.0,0.0
Cocoa Dark,GRAIN,689.5,75.0,0.0
Black Magic,GRAIN,1083.5,75.0,0.0
Gambrinus Pale Malt,GRAIN,5.4,75.0,11.5
Gambrinus Organic Pale Malt,GRAIN,5.4,75.0,11.5
Gambrinus BC Pale Malt,GRAIN,5.4,75.0,11.5
Gambrinus ESB Pale Malt,GRAIN,8.1,75.0,13
Gambrinus Pilsner Malt,GRAIN,3.6,75.0,11.5
Gambrinus Organic Pilsner Malt,GRAIN,3.6,75.0,11.5
Gambrinus Vienna Malt,GRAIN,14.8,75.0,13
Gambrinus Munich Light 10L,GRAIN,32.1,75.0,13
Gambrinus Organic Munich Light 10L,GRAIN,32.1,75.0,13
Gambrinus Munich Dark 30L,GRAIN,92.1,75.0,13
Gambrinus Honey Malt,GRAIN,65.4,75.0,13
Gambrinus Wheat Malt,GRAIN,5.4,75.0,16
Gambrinus Organic Wheat Malt,GRAIN,5.4,75.0,14.5
Gambrinus Rye Malt,GRAIN,8.1,75.0,11
Ale Malt,GRAIN,5.7,75.0,0.0
American Ale Malt,GRAIN,5,75.0,0.0
Aurora Malt,GRAIN,46,75.0,0.0
Big O – Malted Oats,GRAIN,4.38,75.0,0.0
Biscuit Malt,GRAIN,80,75.0,0.0
Black Forest Rye Malt,GRAIN,88,75.0,0.0
Brown Malt,GRAIN,170,75.0,0.0
Chit Malt,GRAIN,6,75.0,0.0
Light Chocolate Malts,GRAIN,950,75.0,0.0
Dark Chocolate Malt,GRAIN,1300,75.0,0.0
Light Crystal Malt,GRAIN,50,75.0,0.0
Medium Crystal Malt,GRAIN,105,75.0,0.0
Dark Crystal Malt,GRAIN,200,75.0,0.0
Eclipse Wheat Malt,GRAIN,1400,75.0,0.0
German Pilsner Malt,GRAIN,4,75.0,0.0
Gladfield Naked Oats,GRAIN,2.8,75.0,0.0
Gladiator Malt,GRAIN,8,75.0,0.0
Go Nutty -Roasted Oats,GRAIN,9.5,75.0,0.0
Lager Light Malt,GRAIN,2.7,75.0,0.0
Maize Malt,GRAIN,2.5,75.0,0.0
Manuka Smoked Malt,GRAIN,3.9,75.0,0.0
Munich Malt,GRAIN,14.5,75.0,0.0
Pilsner Malt,GRAIN,3.8,75.0,0.0
Organic Pilsner Malt,GRAIN,3.75,75.0,0.0
RedBack Malt,GRAIN,80,75.0,0.0
Roasted Barley,GRAIN,1350,75.0,0.0
Roasted Wheat,GRAIN,550,75.0,0.0
Rye Malt,GRAIN,10,75.0,0.0
Chocolate Rye Malt,GRAIN,800,75.0,0.0
Crystal Rye Malt,GRAIN,110,75.0,0.0
Shepherds Delight Malt,GRAIN,350,75.0,0.0
Sour Grapes Malt,GRAIN,6,75.0,0.0
Supernova Malt,GRAIN,135,75.0,0.0
Toffee Malt,GRAIN,20,75.0,0.0
Vienna Malt,GRAIN,6.8,75.0,0.0
Wheat Malt,GRAIN,4.1,75.0,0.0
Pale High Color,GRAIN,5.9,75.0,11.5
Premium Two Row,GRAIN,3.9,75.0,11.5
Superior Pilsen,GRAIN,3.2,75.0,10.7
White Wheat Malt,GRAIN,5.9,75.0,10
Crystal 15 Malt,GRAIN,29.6,75.0,11.5
Crystal 30 Malt,GRAIN,59.1,75.0,11.5
Crystal 40 Malt,GRAIN,78.8,75.0,11.5
Crystal 60 Malt,GRAIN,118.2,75.0,11.5
Crystal 75 Malt,GRAIN,147.8,75.0,11.5
Crystal 120 Malt,GRAIN,236.4,75.0,11.5
Crystal 150 Malt,GRAIN,295.5,75.0,11.5
Crystal Wheat Malt,GRAIN,78.8,75.0,10
Pure California Malt,GRAIN,3.9,75.0,11.5
Pure Idaho Malt,GRAIN,3.2,75.0,10.7
Pure Oregon Malt,GRAIN,3.9,75.0,11.5
Pure Washington Malt,GRAIN,3.9,75.0,11.5
Brūmalt,GRAIN,39.4,75.0,12
Caramel Steam Malt,GRAIN,78.8,75.0,12
Mela Malt,GRAIN,59.1,75.0,12
Munich Malt,GRAIN,19.7,75.0,12
Vienna Malt,GRAIN,7.9,75.0,11.5
Dark Munich,GRAIN,39.4,75.0,12
Light Munich Malt,GRAIN,11.8,75.0,11.5
Biscuit Rye Malt,GRAIN,33.5,75.0,10
Organic Crystal 15 Malt,GRAIN,29.6,75.0,11.5
Organic Crystal 40 Malt,GRAIN,78.8,75.0,11.5
Organic Crystal 60 Malt,GRAIN,118.2,75.0,11.5
Organic Crystal 120 Malt,GRAIN,236.4,75.0,11.5
Organic Munich Malt,GRAIN,19.7,75.0,12
Organic Premium Two Row,GRAIN,3.9,75.0,11.5
Organic White Wheat Malt,GRAIN,5.9,75.0,10
Organic Superior Pilsen,GRAIN,3.2,75.0,10.7
Pilsner Malt,GRAIN,4,75.0,11.5
Traditional Ale Malt,GRAIN,7,75.0,11.5
Vienna Malt,GRAIN,10,75.0,11.5
Light Munich Malt,GRAIN,15,75.0,11.5
Dark Munich Malt,GRAIN,20,75.0,11.5
Wheat Malt,GRAIN,5,75.0,13
Distillers Malt,GRAIN,5,75.0,11.5
Caramalt,GRAIN,70,75.0,0.0
Light Crystal Malt,GRAIN,140,75.0,0.0
